Ticket_ID,Summary,Status,Assignee,Sprint,Story_Points,Labels,Created_Date,Updated_Date,OKR_Link
HW-1100,OKR dashboard - data model design and implementation,In Progress,Omar Hassan,Sprint 15,8,"data,dashboard,okr",2026-01-27,2026-02-24,KR: Launch executive OKR dashboard with real-time data
HW-1101,OKR dashboard - metric definition alignment with finance/ops,Blocked,Omar Hassan,Sprint 15,3,"data,dashboard,okr,blocked",2026-02-10,2026-02-24,KR: Launch executive OKR dashboard with real-time data
HW-1102,OKR dashboard - frontend build (React + D3 visualization),To Do,Emily Zhang,Sprint 17,8,"data,dashboard,frontend",2026-02-15,2026-02-15,KR: Launch executive OKR dashboard with real-time data
HW-1110,Migrate claims processing pipeline to streaming (Kafka),Done,Omar Hassan,Sprint 13,8,"data,pipeline,streaming",2026-01-06,2026-02-07,KR: Reduce data pipeline latency from 24hr to under 4hr
HW-1111,Migrate session booking pipeline to streaming,Done,Omar Hassan,Sprint 14,5,"data,pipeline,streaming",2026-01-20,2026-02-18,KR: Reduce data pipeline latency from 24hr to under 4hr
HW-1112,Migrate patient signup pipeline to streaming,Done,Tanya Brooks,Sprint 14,5,"data,pipeline,streaming",2026-01-20,2026-02-19,KR: Reduce data pipeline latency from 24hr to under 4hr
HW-1113,Negotiate real-time API access with UHC - technical requirements doc,In Progress,Omar Hassan,Sprint 15,2,"data,pipeline,insurance,negotiation",2026-02-10,2026-02-22,KR: Reduce data pipeline latency from 24hr to under 4hr
HW-1120,Instrument patient journey event: insurance verification callback,In Progress,Tanya Brooks,Sprint 15,3,"data,analytics,instrumentation",2026-02-17,2026-02-25,KR: Instrument top 10 patient journey events for funnel analytics
HW-1121,Instrument patient journey event: therapist match acceptance,To Do,Tanya Brooks,Sprint 16,3,"data,analytics,instrumentation",2026-02-17,2026-02-17,KR: Instrument top 10 patient journey events for funnel analytics
HW-1122,Instrument patient journey event: post-session survey completion,To Do,Emily Zhang,Sprint 16,3,"data,analytics,instrumentation",2026-02-17,2026-02-17,KR: Instrument top 10 patient journey events for funnel analytics
HW-1130,Therapist matching algorithm v3 - patient preference weighting,In Progress,Kevin Cho,Sprint 15,8,"product,matching,algorithm",2026-02-03,2026-02-27,KR: Improve patient 90-day retention from 60% to 72%
HW-1131,Evening and weekend slot expansion - provider scheduling feature,To Do,Amy Liu,Sprint 16,5,"product,scheduling,retention",2026-02-18,2026-02-18,KR: Improve patient 90-day retention from 60% to 72%
HW-1140,Oregon Health Plan Medicaid integration - technical implementation,In Progress,Ravi Sundaram,Sprint 15,8,"insurance,medicaid,oregon,integration",2026-02-03,2026-02-26,KR: Launch in 3 new states (CO; NV; OR) by end of Q1
HW-1141,Oregon provider credentialing - state board documentation gaps followup,In Progress,Sarah Okafor,Sprint 15,2,"credentialing,oregon,provider-ops",2026-02-20,2026-02-27,KR: Launch in 3 new states (CO; NV; OR) by end of Q1
